processed_text,kelas
gua gamau rasi ya anjg ya org pertimbangan contoh karna gua islam ko lu maksa bgt org dianggep rasi karna pilihannya kocak bgt dah lu,Negatif
kasihan deh gay laknatullah islam radik neraka menunggu,Negatif
wih ngeri omongan org rasi nge cap org radik pdhl yg radik lu yg ngatain islam yg dikatain gua kocak,Negatif
dalilnya ygng hati hati yg ngomong radik radikul termyata kamuflasei koruptor tambang yg melanggar syariat islam,Negatif
eng ing eeeeng semoga biadab yg mempermainkan cjh regul ditangkap dipenjara amp dimiskinkan permainkan hidup orang permainkan uang orang didalam kementerian yg paham agama islam peserta cjh setuju dibongkar,Positif
ni org ngmg sembarangan mulu ntar disuruh aj dr islam kl ga nyaman dy play victim ngatain yg nyuruh ga toleran jahat radik alasan bkn agama rahmah kasih kentongan cocok kyni rumah biar kl dy ngmg bunyian,Negatif
halnya pancasilai habisin islam radik beda posisi aja spok nya,Negatif
ajaran islam bagu orang orang kayak yg menyebabkan islam diidentikkan radik intoleran bodoh terbelakang terori stereotyp lainnyateru bale pake istilah islamophobia yg mnyebabkan,Positif
la yg ni anti rasulullah saw selamba isyhtihar takp biadab rasulullah saw dah la abi merengek macai budak bodoh markah matematik yg suka hina islam ko mintak syafaat kat razmin,Negatif
dasar oknum kristen radik bernarasi buruk islam umat islam bersahabat orangorang kristen diluar kristen kristen radik anggap oknum,Negatif
gak landenin deh orang hatinya udah dengki udah kotor mah ya gitu morisnya ngaku islam rasi umat yg seagama,Negatif
orang orang islam biadab masuk eropa tingkat kekerasan rendah ruangan penjara belanda kosong hakim amp jaksa amp pulisi nganggur orang orang islam bangsat masuk eropa tingkat kejahatan meningkat pesat,Negatif
melindungi gi mna loe cari negara yg mayorita umat islam gk minorita yg bantai klo orang islam korban kaum kafir radik,Negatif
sih yg razia orma islam bilang radik yg razia polisi bilang sok suci,Positif
viral forum wn korea hina orang indonesia islam rasi korea koreaselatan indonesia islam agama,Negatif
ngejek sih ngejek jgn bawa agama islam doang yg dibenc kalo rasi bawa agama jijik aja ngeliatnya,Negatif
belajar islam kaffah lu islam radik silahkan aja gausah bawa bawa gua silahkan radik kelompok lu aja gua mah mengamali quran hadit shahih amp suritauladan rasul silahkan lu kitab kune kitab biru lu,Positif
islam buruk vs lampaunya kelakuan gereja jaman abad pertengahan membaik teladan nabi amp tokohnya terpecah radik amp amburadul perbuatan oknum agama skala islam radik,Negatif
organisasi yg jualan isu radik radikul berteriak kodran kadrun isu wahabi proyek pemerintah memberanta organisasi yg rela tameng pemerintah kritikan umat islam jabatan dukungan finansi,Negatif
yg dinamakan islam moder mengakui islam radik berlagak bodoh islam radik meneror gerakan negara islamnya beda ya islam moder cermin kemunafikan,Negatif
tolol kepedean oten radik lo ngapain sih terobsesi banget islam misonari kristen abad pertengahan yg memfitnah islam sadar gue al quran emang nyata al baqarah ayat orang kristen gak pua,Negatif
agama yahudi mah kaga ngebenerin kejahatan perbuat termaksud agama islam kristen mencuri larang agama coman aja nama sesat krimin radik kejam berfikir agama ngebenerin perbbuatan krimin tsb,Negatif
angkat senjata mengusir islam eropa dg penyakit kroni berbahaya,Negatif
nyambung sm muhammad bin abdul wahab yahudi najd yg memeluk islam pendiri wahabi antek zioni ilmunya cetek rasi seolaholah setara imam syafii,Negatif
tanggapannya mancla mencl cari aman kalo beneran gabung ma kaesang mend islam radik aja negara biar non muslim memisahkan bubar berabad abad dikuasai mental jawir,Negatif
kepala cakapnya malu dbp kepala menafikan hak umat islam tuhan badan rasi fasi subversif malu diludahi manusia bermaruah rujuk,Negatif
gibran berani melawan aru islam radik anj kurap pantek amaknyo islam kanciang,Negatif
membandingkan negara appl to appl negara berbasi kristen islam yg rasi umat filipina persekusi islam kristen myanmar tambahan data sisanya,Negatif
nuduh islam radikali persi voc hindia belanda suka nuduh radik merdeka oh turunan londo ireng,Negatif
sebenernya baha si janga jongo yaman yamin arab areb mulu gak benci rasi dewi malu ih islam pembenc pengalaman ketemu ustad khalid direndahkan gimana si trauma gitu serem banget hatinya dengki,Negatif
mca tolol ya soksokan membela islam gelagat rasi keparat kayak gini,Negatif
gue unlock twitt ah udah aman twitt gue mengandung sara rasi cinta islam har word im tire of thi shit,Negatif
nyamber repli repli kristen radik mario yg constantli menghina nabi islam korban membala hate speech nya mario ubeg sosm gak hate speech agama,Negatif
lulusan sekolah kristen yg suks beda ama lulusan sekolah islam yg kerjanya radik,Negatif
udah baca artikel indosarang oppa hunter rasi islam rasi vietnam dll sih,Negatif
kalah adu debat gua islamnya dapet tiktok ustad radik doang bikin malu umat islam,Negatif
masalahni transmigran g berani daerah mayorita kristen transmigran mainni daerah islam sumatera cap radik sialan banget mmg,Negatif
lu aja islam radik wkwkwkwk gy laknatullah,Negatif
islam yg islamphob islam banyaknya yg ngatain non muslim kafir banyaknya umat muslim yg benci non muslim islam umatnya ganggu non muslim beribadah,Negatif
radik nyari donasi jualan palestina hati hati umat islam goblok percaya ma akun dubur corong,Negatif
islam radik merusak citra islam islam damai berdiam mempersilahkan islam radik menekan meninda nonmuslim salahkan minorita kehilangan simpati konflik gaza next,Negatif
bangga kafir malu islam,Negatif
muslim radik otak yg merusak bangsa rizieq syihab anj kurap pengikutnya,Negatif
ye kristen radikalampislam radik jg kuat solo salah unjuk kekuatannya adlh pembangunan pesantren gede retreat umat kristen karangpandan,Negatif
kalu dijauhkan hidayah jgn orang kafir orang islam sj gerah rumah deket mesjid,Positif
hati nkri dng yg eropa islam radik mengakar dpemerintahan regim islam menjajah nkri tinggal tunggu regim islam makar kudeta,Negatif
gair islami auratislam k khilaf mat jaek kafir ki bat mat karola jannum dega tuje,Negatif
ya deh semoga rame lg busway nya sopirnya makan makan keluarganya klo lg klo,Negatif
orang munafik berbahaya dibandingkan dgn orang kafir nyata memusuhi islam orang munafik memusuhi islam orang munafik musuh selimut,Positif
umat muslim berpikir kriti thd ayat islam desak berpikir kriti menuduh kafir penyusup ya bud templat,Negatif
hahahaha kalo medan ngatain tuhan yesu kau niko mati disalib bekolor gstring nabi kau pedofil keledai terbang ketawa aja mba orma islam yg menjuru radik tumbuh subur era reformasi kalo tniad gerbongnya lbm mba iykyk,Negatif
penuli gila berusaha memurtadkan sdh th islam terbukti kebenarannya kasihan edan dg cerita karangannya yg tdk kasihan de lu ibli goblok biadab anj taik keparat jahanam pemgecut kutu kumpret yahudi,Positif
biadab ustad mendiskreditkan islam persepsi liarnya,Negatif
perlakuan yg biadab contohlah diindonesia kafir pemakan babi hr mencela menghina islam tp muslim gakkan membakar kafir tsbt sayangnya kafir minorita indonesia gak gak bermor aja dizholimi,Positif
dipekabaru mesjid tepatnya dijalan riau gg mustika ujung sarang radik terori mohon dibantu viralkan gegara mesjid bangunan disekitarnya dijual gk laki suara toanya mengganggu kehidupan ketenangan masyarakat,Negatif
emang rasi yak suka ngatain islam bodoh dll gatau tuh yg penyembha kpop,Negatif
beratu yahudi mengalah kekejaman islam melawan kampung nya dibakar pasukan muslim belajar sejarah mengalah muslim membabi buta biadab skrg membala spt yg muslim lakukan,Negatif
islam nyuruh rasi waow wkwk,Negatif
zionist israel biadab indonesia rawan pendukung zionist berpakaian bicara selayaknya islam misi memecah belah ummat islam dgn perkataan,Positif
cocok rumahnya org kristen cina rumah disemprotin alkohol kalo org islam ya susah sholat dirumah,Negatif
islam disertai embelembel moderat radik fundament tradision baratlah biang kerok dunia islam menjalankan politik belah bambu barat mengelompokkan umat islam kepentingan penjajahan barat,Positif
terserah dibilang fasi religiu dibilang radik dlm islam lgbt mutlak haram dosa muslim taat menolak lgbt get well soon,Positif
perkataan gw membela orang yg tindakan biadab coba tunjukkan faktanya klo lu islam gemar menuduh memfitnah lu klo islam paham klo dosa,Negatif
bo liber mmg bisanya cm tolerantolerun amp radikalradikul kpd ummat islam giliran israhel bantai gt rb org yg sbgn bsr wanita amp anak pura budeg tuli amp bisu br semangat kalo cuannya cc,Negatif
yg kaum islam phobia bangsa indonesia yg biadab israel krimin membunuh makannya ani dikalahkan pilpr wni habi warga singapor yg tempati indonesia,Negatif
yg ditawarkan indonesia teknolog pendidikan hasil alam gak satupun kecuali pengaruh islam radik jk pni pemikiran beliau pst mengerti berhubungan dgn negara damai muka bumi berdampak negatif tp tutup mata,Negatif
biadab majidreza rahnavard thn dibunuh rezim islam iran juni memiliki tato bendera singa amp matahari lengannya membakarnya amp mematahkan lengannya membunuhnya eksekusi publik mahsa amini sc,Negatif
donald trump menindak terori islam radik yg menyrang mengacaukan warga sipil amerika serikat as trump anti islam islamofobia,Positif
gw gasuka pk oknum org islam yg radik villain yg salah bukam gw islamophob anjengghh gw cinta allah kalo ga allah gw gak lolo unpad cokkkk liter seneng susah gw inget allah gw cinta islam,Negatif
ya orang percaya selebaran rasi islam ditempel muslim beneran,Negatif
yg ngasih julukan gu golongan jd g pd ribut coba ga tau lg kategori gu gimana klasifikasinya noni amp d kasih julukan maaf rasi krn gu julukan orang muslim contok yg islam dikasih julukan biksu romo ya ga relat,Negatif
pake duit pribadi ngk uang jalan kepentingan umat agenda terselubung menghancurkan islam wajar umat mengecam perbuatan biadab orang islam akur,Negatif
patut duga religiu kamuflas maksudnya islam tp biar ga musuh mayorita radik dikorbankanlah religiusita yg islam,Negatif
menonton film teman perempuan islam radik,Negatif
exactli agamanya tp penganutnya bbrp penganut rasi fanatik smua smua agama sekt hindu kek islam kek kristen katolik budha konghucu aja tergantung aja skrng yg agamanya mayorita minorita negara,Positif
yg anggap pagan pagan islam yg mlakukan tradisi pyembahan hubal amp anak ceweknya putar kelil batu lmpr batu cium hajar aswad agr dosanya dihapu mghadap batu musyrik amp kafir muhamad sblm umur th muhamad simpan patung wlo sdh trm wahyu,Positif
perkataan kalo islam bela palestina kalo islam dukung israel rasi diskriminatif jgn,Negatif
klaim kafir islamofob ya pake argumen usang yg udah kebantah debat anti islam ln aja udah gak pake argumen quran diedit kairo,Positif
halo membiarkan warga tinggal indonesia enaknya rasi menghina islam mencari makan,Negatif
fuck tu mencarut dik dah kena sepak dah pasal biadab mak ajaq ka ps tolong bentang audit banjir orang islam kena jujur adabgtskil,Negatif
membela saudara seiman aja dianggap gusdur fundamentali senjata memusuhi umat islam tuduhan radik intoleran fundamentali,Positif
terlihatkan terori radik tsb yg dangkal pemahaman agamanya terori ulama yg tawadhu terori islam ktp yg suka kekerasan dicekoki amarah dendam,Negatif
ga salah cap radik aja mengakui negara kesatuan bilang negara islam kalo orang islam tinggal bertetanggaan takutkan orang ga mengakui negara pancasila,Negatif
gatau maksud km ngmg gitu emg gatau gmn tp komentar km landasan yg jd kesan negatif islam agama yg barbar anarki radik tr membunuh dibenarkan islam pdhl yg dimurkai allah ganjarannya jahanam,Positif
ulama tolol nggak toleransi nkri bersyukur dipimpin nasionali islam abangan dipimpin kelompok islam syariah moderat radik yg menghasilkan ulama bego kayak gini,Negatif
selembar jilbab senjata alasan meneror memaksa dgn kekerasan nama agama konyol biadab berlaku dgn paksaan sekolah negara yg wajib jilbab indonesia negara islam,Negatif
terfaku orangnya permasalahan umat muslim karna dri orang yg kaya gitu islam dianggap radik gampang goreng orng yg benci islam,Negatif
iya gw negesin lu liat agama nya agama mengajarkan kebaikan manusianya gimana ngebawa case diata seakan islam agama yg radik,Negatif
solo knp skrg orma islam radik sih bring back solo yg divers rukun tentrem kristen jowo ne iku,Negatif
aturan islam radik aturan islam radik berwawasan sempit pemikiran dangkal aturan aturan yg utama pilihan aturan,Negatif
okt gaza tenang amp damai warga terori gaza siksa bakar hidup perkosa culik penggal bantai warga israel bayi ampanak perempuan orang muda orang tua sadi biadab bela kasihan islam sedunia merayakannya,Negatif
coba dengarkan pembicaraan hati hati sepupu teduh baca tweet kristen ekstremi indo ngayal mamad keturunan abraham gak hubungannya ngarang gue liat tl indo suram bgt ya islam kristen aja radik,Negatif
islam emang radik emang kaffah radik konotasinya jelek dipakai definisi mengges tatanan pemerintahan kbbi,Positif
kaum radik intoleran anti islam spt si dikasih panggung ra aja rame biarkan kedengkiannya thdp islam berubah aksi teror ummat islam,Negatif
gak normal islam radik menyebar spt rabi dlingkungan minim islam amanaman,Negatif
kalo rasi jaw ga orang jawa aja pokoknya orang austronesia beragama islam lu orang sunda orang bugi madura sumatra tetep aja dipanggil jaw wkwk,Negatif
pandang islam yg tuhan pni sifat kebencian tipudaya rasi,Negatif
dah la sorangsorang muka bangga budaya kafir penampilan selekeh ikat reben tujuan nak gambaran kononnya kerajaan tu teruk yg teruk biadab tu pn budaya melayu tu hilang adab islam hancur,Negatif
ya semangat kreatifita mental amp kinerja diata tp manusia arogan amp kosong suka teriak rasi menghina negara pdhl mrk bermor berkualita agama islam duluan disana laksamana cheng ho yg membawa islam jawa dll,Negatif
ga islam radik,Negatif
lucu kann yg suka goreng islam agama radik dah keliatan islamophobi mayorita islam toleransi cap agama radik liat tuh etni uighur rohingya minorita islam mengalami pelanggaran ham negaranya,Negatif
klau x ambil tindakkan dtg org pulak yg mcm tunnti non muslim lg xhormat islambila org islam bise pulak rasi,Negatif
digoreng media oknumoknum islam radik bla bla bla islam orangnya beda,Positif
biadab basmi sampah masyarakat intoleran menghormati umat islam umatnya tindakan terorism yg aparat pemerintah dimana,Positif
milkul yamin mu pahala mempraktekkannya kpd non islam ya mrk gentar non islam mualaf biadab,Negatif
orang kafir munafik yg memusuhi islam khusu parti bangsa dll,Negatif
ani yg tdnya dibilang jil skrg jd islam radik charact developmentnya,Negatif
lo menyerang memfitnah muslimbangseberapa kemelekan batinmu giliran dr membala kau berteriak islam radik intoleran puaskan hatimu sejatinya kau katak dlm tempurung,Negatif
lho bawa bawa umat islam sih woi yg radik ekstrimi orang islam kayaknya elo pendukung bom bunuh yg ngaku beragama islam kamp konsentrasi istilah loe doank loe tong bukti densu bnpt bilang bikin kamp konsentrasi parah loe tong,Negatif
berotak udang salah kaum kelompok islam radik,Negatif
muhammadiyah tarik dana bsi otomati bangkrut salah dana orma islam dikelola komisari umat islam dikasihkan politisi yg ga background syariah betapa tololnya ya,Negatif
ditipu media media pro pemerintah obok isu sara suap fitnah islam radik biar benci fpi habib riziq nya yg kriti rezim,Negatif
enzo fernandez menyanyikan bernada rasi merayakan gelar juara ajaran islam manusia memiliki kesetaraan,Positif
bilang orang islam radik fanatik sejarah dunia islam menyelamatkan orang yahudi pembantaian kristen eropa alasan masuk akal zionist membenc dunia islam rupa,Negatif
wahabi salafi indonesia terori terori terkait islam radik indonesia berfaham wahabi salafi,Positif
percaya wikipedia gk percaya kalo kitablo isinya kekerasan isi tweet yahudi ngejek islam muluk agama yahudi isinya disuruh benci non yahudi yesu aja yg nyalib bangsa israel agama pilihan tuhan rasi fasi,Negatif
buzzer bilek emang klo prabowo presiden jokowi parah apalgi tunggangi orma islam radik terori anti nkri,Negatif
aneh ya claim udh tau kagak tru justifikasi kristen menghujat agama klo modal claim orang yg data claim gk sejarahnya kristen rasi agama byk sejarahnya intoransi islam agama,Negatif
benjamin netanyahu perang gaza rafah amp lebanon selatan dibawah otorita israel amp dikendalikan penuh israel pasukan orma islam radik disana,Negatif
iya islam membahayakan orang serangkai agama samawi islam radik,Negatif
identifikasikan sbg aktifi politik islam tdk alimalim banget diglorifikasikan radik pejuang syariat islam dsb orang spt yg mengglorifikasikan org spt rela indo sbg negara terbelakang,Negatif
umat islam kalo kompak mantap dibantu noni yg nasionali rezim biadab wakanda tumbang nih bukti orma islam bsi langsung kelimpungan kosongkan reken beralih transaksi tunai kolap tuh rezim,Positif
ee ngaca lusiapa yg bikin kerusakan dibumi manusia ibli dr jajirah arab benggolan kerusuhan dunia krn mental mind set islam yg primitif barbar biadab yahudi israel bnyk sex membawa kebaikan udunia bro sjk kpn janji allah stw abal berlaku uorg yahudi israel,Negatif
pendukung benci islam umat muslim indonesia membela pelistina salah guru lembaga pendidikan orang yahudi israel bangsa biadab berperikemanusiaan dibela orang tau,Negatif
mengerti berpikir non muslim rasi negara memperlakukan agama islam berbeda agama menjelekan islam semu masuk neraka sungguh kesian,Negatif
liganya liga ampa rasi goblok aturan anti islam banget,Negatif
boy hidup hr pake akal nurani agamanya gak salah yg salah oknum radik amp terori boy kau msh hidup enak dinegara bs sekolah makan enakkan kepalamu mudah dicukur dmnpun boy negara yg mayorita islam aman,Negatif
gak dukung fpi layak dapet keadilan sih km islam radik ya langsung dapet stigma negatif gampang disulutnya dapet dukungan pemerintah,Negatif
israel biadab negara timur ngakunya negara islam bungkam ketidakmampuan ketidakberdayaan israel amerika,Negatif
habi garagara muslim radik indonesia gara mui membiarkan ulama radik mengajari rakyat indonesia intoleransi so bungkam ulama radik dg penjarakan dg pidana makar memberontak nkri rizieq baasyir dllnya,Negatif
nu emang bemper pemerintah lo aja yg kena genjutsu islam rahmah telorasin tai anj frame sodara seiman radik bla bli blu mamam noh,Negatif
umat hindu x mempost tulisan yg menentang perbuatan biadab yg pemuda muslim pakistan hipersek yg menculik anak perempuan hindu india pemuda islam memperkosanya bergiliran,Negatif
islam melarang membakar hewan semut namanya manusia hukum islam sy manusia dibakar pasukan dajjal zioni radik,Positif
seoang rasi turki bersenjatakan pisau mengancam membunuh orang arab duduk kafe maslak turki beza orang berpegang ajaran islam sebenar bangsa warna kulit info,Negatif
isi islam isi kelompok terori radik mengatasnamakan islam,Positif
real life rasi islam si suheri ntuh,Negatif
km kgn sok jd manusia kafur pengkutmulah yg mengimentarin agama islam tulihat twiter nama kunnya talang ijoo kiea bg yg diisharenya ngaku agama yg plg toleransi gak tahunya poengikut agamammu yg lbh biadab sm islam,Negatif
gue baha nabi gue doy penguru pesantren biadab mnzinahi anak orang berkedok nikah padahl tnp restu bapaknya si anak it pernikahannya sah islam,Negatif
oh orang rasi anti islam bermasalah,Negatif
beneran ya aslinya bali rasi agama kayak islam klw lihat orang bali adem anyem bilang aslinya umat hindu bali rasi banget nonhindu,Negatif
kemaren penjarakan yg mendukung kejakarta kayak jihad nunggu komando hr tpi ngademin pendukungnya gk kebayang klo nyerang pemerintahan islam goreng radik media syukurnya gk kejadian,Negatif
islam agama tdk membawa etni ra suku apapun mulia manusia yg taat thd allah swt yahudi rasi penuh kebencian mengabaikan peri kemanusiaan sifatnya ibli amp setan pahlawan pahlawan dr hongkong,Negatif
ayat alquran radik indonesia rusak iran intoleransi lg manusia satunya lawan ulama yg pemerintahan dimana yg terpilih anggota dewan menciptakan uu rasi yg merusak persatuan,Negatif
wahabi islam moderat yg tbah radik,Negatif
terori dukung terori indonesia yg rubah indonesian indonesian khilafah diam orang kristen indonesia yg zolimi diskriminasi diam suruh bela islam radik palestina otak alian penuh ta i lupa bersihkan,Negatif
turi islam bernama mohammad ismailqamar aziz mengunjungi pakistan utk liburan idul adha dibakar hiduphidup islam radik tuduhan menista alquran dgn dibakar disalah hotel penginapannya investigasi menemui bukti apapun,Negatif
radik islam boom bro,Negatif
radik islam type shit,Negatif
radik intoleransetiap menjelekan islam terusanda penyakit hati yg parah mengalami gangguan jiwa yg akut,Negatif
inggri belanda peristiwa novemb surabaya terorism islam radik teriakan takbir allahu akbar propaganda londo ireng paham ora son diiiberkatilah,Negatif
jendralmusuh islam kelakuannya biadab,Negatif
salah dampak buruk pemerintah yg demonisasi agama kepercayaan islam nilainilai moral berges teguran ttg ajaran agama yg salah dibilang radik negara yg dasarnya pancasila n,Negatif
ajaran terori islam biadab,Negatif
islam agamaku toleransi jalan hidupku radikalterorism musuhku katemiddleton jisoo lisa blackpink seventeen bt bhinnekatunggalika instagramdown tolakintoleransi tolakradikalism tolakterorism,Positif
dimata islam abangan islam gak gabung pki jaman radik,Negatif
klo ceweknya sexi emang kesukaan gua bosss klo gk pake baju biar sexi menantang mendukung hijab yg gk cadar gua emoh jijiknya kayak orang yg suci dosa aja lanjutkan dek,Negatif
habib toha wkwkwk loe tolol oon digabung udah rasi benci islam eh otaknya porno gila loe,Negatif
berani bilang snack video orang islam kristen hindu ketiganya rasi nyebelin offensif keliatan sdm rendah indonesia bgt snack video ga tuh namanya minorita toleran coek mendem doang jg,Negatif
orang muslim london stereotipnya radik negara mayorita islam aja mayorita asalnya negara ipb,Negatif
kadrun adlhjulukan orang islamyg dilebelkan olehpkimanusia otak radik spi ummat islam malu loe anj pki,Negatif
petinggi agama islam radik udah turunkan yah resolusinya heheh lahirlah habib bernafa mmenyatukan mendamaikan dichannel deddi corbuzi channel endgam sain believ totpol politc,Negatif
sih baca narasinarasinya ahmet t kuru mustafa akyol timur kuran montgomeri watt radik revisioni pemband pengetahuan paham nalar pikir barat menafsir islam diyakini,Negatif
haram aurat perempuan islam perempuan islam aurat pusat lutut perempuan kafir aurat aurat lelaki,Positif
simpel benci islam tuanku imam bonjol mudah dilab radik,Negatif
waduhhh langsung tantrum liat umat ibadah agama langsung serangpersatuan indonesiaemang kadrun tau persatuan indonesia ajaran agama aj rasi hahahagoblok benci afi islam yaa gimn ga benci kelakuannya brutal bikin ribut melulu tolol lu ah,Negatif
dr zakir sih biar paham memandang agama biar ga rasi mencela menghina biar memperkuat keyakinan beragama islam,Positif
ajaran sekt lu aja kali elu yg bawabawa agama islam jatim jateng gaada noh yg nyembah amp mengkultuskan gu gu kek gaada harga aja penjilat amp kacung gu gu biadab,Negatif
kalo islam radik intoleran buktinya lu aman aman nyet monyet,Negatif
salut nico silalahi anj peke peliharaan china komuni mengkomuniskan indonesia dgn membenc umat islam yg memperjuangkan kebenaran dgn mencap radik,Negatif
penjajahan diata bumi allah dihapuskan yg akal mengaku umat islam asyik bermesraan zioni kafir israhel permintaan maaf tolak,Positif
bukti ani gw kelompok radik ani gw tau lu gak suka islam nyatakan perang ani lu pikir gua orangnya gak nekad ani,Negatif
ya loe aja anj aja gak berpendidikan orang islam menghina agama rasi lihat ketikan loe munafik kyk loe dimusnahkan bray iq otak monyet kyk loe cm sumpek sumpekin nih negara,Negatif
mengaku muslim mesra musuh islam nabi shallallahu alaihi wa sallam berdakwah musuh mengintai kalangan yahudi orang kafir madinah anehnya orang tinggal madinah,Positif
true yt nih akun geopol western sok iya yg kadang kontennya suka nyudutin islam arab tipik centrist right emg sih yg mlh manc byk akun troll far rightrasi ngebacot,Negatif
bodoh gila zionist ni kau dah la indonesia negara ramai orang islam pastu kau biadab penganjur indonesia panggil ni bijak hadir concert tu,Negatif
negara situ emang suka rasi asia tru patriarki banget daerah negara situ yg melarang ga bolehin orang islam masuk daerah situ,Negatif
aneh bela idola samp bawa nama tokoh islam yg dihormati dikritisi orangnya aja terima baikbaik kritik gue ngaku salah lonya nyolot kali gagal faham kritik orang enteng lo nuduh orang radik,Positif
manusia jahat orang islam yg radik istilah pki angkatan pengikut paham negara islam persi lihat aja nafasnya kayak dn manusia mati insyaa alloh nyawanya dicabut dgn,Negatif
udah nkri dipimpin kadrun radik wowo ani ganjar pdip menangi,Negatif
muslim indo kalo ga radik islam ktp,Negatif
cuba orang islam orang melayu lakukan perkara kau r rasi pelancong maghrib baca alquran batu cave dah kecoh malaysia sensit,Negatif
perang romawi persia gada islam kristen majusi bicara fakta menyalahkan agama banget rasisnya kaya india yg rasi warga nya main kasta,Negatif
mrk butuh orang islam radik krn muslim radik yg diinvalidasi pembelaannya palestin,Negatif
gue gak tau orang indo radik gak islam gak kristen gue revers cultur shock gak gaul orang indo i feel like an alien negara gue lo belom ketemu penganut jain sikhism lo anti islam aja gak,Negatif
yg radik sesungguhnya orang yg paham ajaran islam islam ya islam radik ya radik so gak tuh yg namanya islam radik islam radik orang yg gak suka ajaran islam yg kitab sucinya berubah titik,Positif
lu kalo gua buka privat serang oma islam radik ne,Negatif
tau nabi muhammad aja orangnya mengasihi pandang islam beliau mengasi makan pengemi yahudi lawak kuntul pindah negara aja bang pemeluk islam ye terori tru rasi ntar keluarga lu jg dibun,Positif
lol pant rame fearmong islam radik medso insentif dah cair,Negatif
andai an tujuan cita amp manifesto hama amp group radik palestin lenyapkan israel jew explor sourcenya org penuh niat jahat busuk hama radik islam pegang senjata hasilnya kengerian,Negatif
rasi islamophob penista islam,Negatif
gue ga dukung maxwel gue maxwel salah tp yauda ingetin aja org indo cuman liat kesalahan org yg dah terken doang kalo gak terken kesalahan rasi gitu diliat org islam jg yg jelekin cindo ama kristen gue normal ya,Negatif
islam kafir tujuannya hidup damai berdampingan hidup bulli kepercayaan,Positif
ya allah udh biadab bngt kalo hukum islam udh kena rajam samp mati hitungan nya zina muhsan ka semoga kebahagiaan yg hadir hidup ya tenang ka kalo lolo dunia balasan nya akhirat,Positif
kaki tangan israel sdh partai orma islam dikad agennya singapura benci kelompok islam yg mengecam israel mengkampanyekan anti intoleran radik utk memanc simpati,Negatif
miltansi kaum islamophobia kuat dibandingin fanatism kelompok islam yg tuduh radik intoleran taktiknya manipul play victim pdhl yg nyinyir nyenggol duluan dibal langsung dramanya,Negatif
orang islam mengkritik quran radik agama pikiran lo mengadopsi ustad ustad indonesia mengkritik kepercayaan orang radik,Positif
kyk ani ya badut islam radik,Negatif
si biadab ngaku agamanya islam sedikitpun memiliki persaudaraan seiman yg dibelanya kafir laknatullah si genosida yahudi matian dibela saudara seimannya digaza tewa didoaknnya jngn berikn kemerdekaan,Negatif
pa doa rosario dibubarin bantu pemuda islam bubarin islam keliatan yah orang bubarin doa rosario orang rasi berkedok bela agama,Negatif
marah je razmin yg bodoh biadab weirdo tu kantoi suka hina orang sabah sarawak ko tolol markah matematik d bahasa melayu fail pendidikan islam bermaruah la skit hina gile macai budak lembik ni,Negatif
golongan islam radik fundamentali kayak dox aja dibalik akun kayak gimana orangnya dimana lokasinya disebar foto orangnya membiayai disebar aja informasinya publik,Negatif
salah perintah allah mnegakan dinullah jd kl kafir yg mncoba mnginakan agama islam ya lawanlah kau takut santai aja pahala masuk surga nga nti ktemu bidadari gmn kau,Positif
ani liber yg lakukan relevan kel islam radik memanfaatkan menunggangi dengab prabowo,Negatif
yg ikutan bom jg noh umat kristiani bgt udh rasi nya ntar play victim tersak idup negara mayorita islam hadeh hadeh,Negatif
yg lo lakukan baca pekok nggak memahami menebar fitnah tulisan islam yg dianggap bertentangan dipost biar heboh biadab percayalah jatuh ulah,Negatif
kalo yg agamanya islam bersuara kalo g rasi intoleran buzzer terori radik ya oten,Negatif
pembat keislaman murtad kafir membenc syariat yg dibawa muhammad menghina islam berkeyakinan hukum yg hukum allah plu orang kroco nya senang bergaul orang kafir yahudi yg memerangi kaum muslimin,Negatif
tau kelakuan yg islam aja melarang patung gila bikin patungnya kontol sejatinya menistakan malam takbir,Negatif
lu aja nyebarin propaganda islam sbg agama radik duit wisatawan muslimnya lu makan jg konsisten donk tolak jgn hipokrit duitnya lu makan jg samp gendut gitu,Negatif
bikin malu agama rasi intoleran aceh memberontak gak huhungannya dgn agama papua dll yg beragama islam,Positif
yg bener hizbullah israel militan radik islam,Negatif
video bodoh kreasi anak gen tiktok indonesia video yg pastinya melukai hati umat islam indonesia dunia mengundang rasi bola salju maaf klarifikasi orangtua viral,Negatif
gue tau kampu gue gerakan islam radikalism percaya gak percaya kampu islam negri disusupi islam radik pembelajaran kampu dosennya,Negatif
india rasi benci islampaham,Negatif
yg terbiasa sek beba kafir golongan elu yg berpurapura masuk islam,Positif
kau belajar sejarah jng asik pamer peler aja abad spanyol mayorita islam negara yg makmur terbuka utk sj kristen sbgai imigran beranak pinak thn kristen membantai org yg tdk agama biadab tsbt,Positif
ngefitnah mayit hukumnya haram agama islam lu kafir pemakan babi g karma,Positif
motivasi islam radik eropa melecehkan perempuan berambut pirang sesuai ajaran buku manual keyakinan,Negatif
ngomong goblok radik islam kadrun diganti dngn radik sunda wiwitan yg overproud hebat penguasa dunia atleast sesuai realita fakta tau kalah sa,Negatif
intelektu umur islam mlehoy eh moderat ngomongnya radik,Negatif
keii paud samp smp tuh sekolah islam bener bener islam pa tau nge kpop berasa kafiruntung udah jelasin pelan pelan,Positif
